City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,2022-05-16 04:02:24,-23.1203,-134.9692,77.49,67,61,20.04,broken clouds
1,Hermanus,ZA,2022-05-16 04:02:46,-34.4187,19.2345,57.79,56,0,9.57,clear sky
2,Nanortalik,GL,2022-05-16 04:02:55,60.1432,-45.2371,30.88,83,89,7.36,overcast clouds
3,Abu Dhabi,AE,2022-05-16 04:05:30,24.4667,54.3667,84.31,66,0,5.75,clear sky
4,Avarua,CK,2022-05-16 04:03:15,-21.2078,-159.775,76.96,68,100,8.52,overcast clouds
5,Leh,IN,2022-05-16 04:09:18,34.1667,77.5833,49.78,36,30,4.99,scattered clouds
6,Leningradskiy,RU,2022-05-16 04:09:18,69.3833,178.4167,27.82,78,99,7.47,overcast clouds
7,Sunrise Manor,US,2022-05-16 04:05:15,36.2111,-115.0731,92.39,5,75,9.22,broken clouds
8,Saint George,US,2022-05-16 04:02:49,37.1041,-113.5841,82.99,14,0,5.75,clear sky
9,Punta Arenas,CL,2022-05-16 04:02:28,-53.15,-70.9167,41.76,79,99,6.06,overcast clouds
10,Kavieng,PG,2022-05-16 04:02:34,-2.5744,150.7967,83.08,69,94,1.97,light rain
11,Dingle,PH,2022-05-16 04:04:00,10.9995,122.6711,88.83,59,99,5.35,overcast clouds
12,Conde,BR,2022-05-16 04:09:19,-7.2597,-34.9075,74.66,100,0,4.61,clear sky
13,Arraial Do Cabo,BR,2022-05-16 04:02:27,-22.9661,-42.0278,72.19,81,9,7.83,clear sky
14,Ushuaia,AR,2022-05-16 04:02:30,-54.8,-68.3,39.0,88,100,11.39,overcast clouds
15,Busselton,AU,2022-05-16 04:02:49,-33.65,115.3333,63.03,61,99,10.8,overcast clouds
16,Richards Bay,ZA,2022-05-16 04:06:27,-28.783,32.0377,65.8,84,65,2.13,broken clouds
17,Gubkin,RU,2022-05-16 04:09:20,51.2817,37.5458,47.21,83,66,13.15,broken clouds
18,Katsuura,JP,2022-05-16 04:02:53,35.1333,140.3,60.39,95,100,10.02,light rain
19,Tiszakecske,HU,2022-05-16 04:09:21,46.9326,20.1035,59.11,81,9,4.52,clear sky
20,Roma,US,2022-05-16 04:07:36,43.2128,-75.4557,64.87,89,0,0.0,clear sky
21,Mataura,NZ,2022-05-16 04:02:36,-46.1927,168.8643,61.48,73,10,2.39,clear sky
22,Chokwe,MZ,2022-05-16 04:09:22,-24.5333,32.9833,63.27,97,30,7.25,scattered clouds
23,Senanga,ZM,2022-05-16 04:09:23,-16.1167,23.2667,53.04,63,0,5.59,clear sky
24,Eatonton,US,2022-05-16 04:08:41,33.3268,-83.3885,71.01,80,69,2.57,broken clouds
25,Alakurtti,RU,2022-05-16 04:09:23,66.9672,30.3491,45.18,85,100,3.15,overcast clouds
26,Barrow,US,2022-05-16 04:02:27,71.2906,-156.7887,28.42,80,100,17.27,haze
27,Yellowknife,CA,2022-05-16 04:01:49,62.456,-114.3525,44.98,47,100,13.76,overcast clouds
28,Buin,CL,2022-05-16 04:05:44,-33.7333,-70.75,62.06,37,42,1.32,scattered clouds
29,Suez,EG,2022-05-16 04:09:24,29.9737,32.5263,64.0,72,93,8.41,overcast clouds
30,Qasigiannguit,GL,2022-05-16 04:06:16,68.8193,-51.1922,19.65,84,14,6.73,few clouds
31,Chhata,IN,2022-05-16 04:09:25,27.7167,77.5,104.23,8,47,13.38,scattered clouds
32,Hithadhoo,MV,2022-05-16 04:02:55,-0.6,73.0833,83.01,76,100,12.41,overcast clouds
33,Oistins,BB,2022-05-16 04:09:25,13.0667,-59.5333,80.69,83,75,25.32,broken clouds
34,Tautira,PF,2022-05-16 04:02:25,-17.7333,-149.15,81.27,72,77,15.55,light rain
35,Port Alfred,ZA,2022-05-16 04:03:27,-33.5906,26.891,61.54,80,0,8.59,clear sky
36,Mogadishu,SO,2022-05-16 04:09:26,2.0371,45.3438,81.01,83,5,16.2,clear sky
37,Atuona,PF,2022-05-16 04:02:26,-9.8,-139.0333,78.73,72,10,16.75,clear sky
38,San Patricio,US,2022-05-16 04:02:59,28.017,-97.5169,78.89,84,0,12.86,clear sky
39,Moron,AR,2022-05-16 04:09:27,-34.6534,-58.6198,53.96,75,92,12.71,overcast clouds
40,Georgetown,MY,2022-05-16 04:02:23,5.4112,100.3354,85.95,70,20,8.05,few clouds
41,Jamestown,US,2022-05-16 03:59:42,42.097,-79.2353,60.03,77,65,1.99,broken clouds
42,Guerrero Negro,MX,2022-05-16 04:06:31,27.9769,-114.0611,61.86,86,68,14.94,broken clouds
43,Port Macquarie,AU,2022-05-16 04:06:09,-31.4333,152.9167,72.9,71,99,5.82,overcast clouds
44,Kawambwa,ZM,2022-05-16 04:09:28,-9.7915,29.0791,56.71,78,41,7.31,scattered clouds
45,Puerto Ayora,EC,2022-05-16 04:03:31,-0.7393,-90.3518,73.54,97,79,6.17,broken clouds
46,Gat,IL,2022-05-16 04:04:53,31.61,34.7642,66.4,73,59,3.2,broken clouds
47,Vega De Alatorre,MX,2022-05-16 04:09:29,20.0333,-96.6333,77.18,80,5,7.29,clear sky
48,Brae,GB,2022-05-16 04:05:22,60.3964,-1.353,48.04,90,84,11.21,broken clouds
49,Grand Gaube,MU,2022-05-16 04:02:35,-20.0064,57.6608,77.4,88,27,4.0,scattered clouds
50,San Luis De La Paz,MX,2022-05-16 04:09:25,21.3,-100.5167,68.7,54,0,9.19,clear sky
51,Champerico,GT,2022-05-16 04:09:30,14.3,-91.9167,84.92,71,100,4.68,overcast clouds
52,Tigil,RU,2022-05-16 04:09:31,57.8,158.6667,50.29,54,100,10.31,overcast clouds
53,Hun,LY,2022-05-16 04:02:51,29.1268,15.9477,68.77,23,0,6.69,clear sky
54,Cherskiy,RU,2022-05-16 04:05:01,68.75,161.3,37.02,83,98,4.65,overcast clouds
55,Bluff,NZ,2022-05-16 04:01:12,-46.6,168.3333,61.81,71,31,6.55,scattered clouds
56,Butaritari,KI,2022-05-16 04:02:28,3.0707,172.7902,81.73,73,39,10.11,scattered clouds
57,Bondo,CD,2022-05-16 04:09:36,3.8146,23.6866,67.68,93,58,2.42,broken clouds
58,Hobart,AU,2022-05-16 04:00:28,-42.8794,147.3294,55.26,73,20,21.85,light rain
59,Provideniya,RU,2022-05-16 04:04:59,64.3833,-173.3,39.36,70,0,18.01,clear sky
60,Naila,DE,2022-05-16 04:09:37,50.3167,11.7,54.45,73,92,4.61,overcast clouds
61,Tuktoyaktuk,CA,2022-05-16 04:03:38,69.4541,-133.0374,36.48,92,100,7.09,overcast clouds
62,Pangnirtung,CA,2022-05-16 04:05:57,66.1451,-65.7125,13.82,82,28,7.07,scattered clouds
63,Namatanai,PG,2022-05-16 04:09:38,-3.6667,152.4333,84.96,63,90,4.36,overcast clouds
64,Necochea,AR,2022-05-16 04:09:25,-38.5473,-58.7368,53.01,79,93,23.4,overcast clouds
65,Cape Town,ZA,2022-05-16 03:58:36,-33.9258,18.4232,63.12,82,0,5.75,clear sky
66,Meulaboh,ID,2022-05-16 04:06:22,4.1363,96.1285,83.61,71,100,1.14,overcast clouds
67,Fortuna,US,2022-05-16 04:03:11,40.5982,-124.1573,58.93,91,100,8.05,overcast clouds
68,Moose Factory,CA,2022-05-16 04:05:29,51.2585,-80.6094,54.18,67,87,5.77,overcast clouds
69,Dhidhdhoo,MV,2022-05-16 04:09:39,6.8833,73.1,81.55,85,100,21.7,moderate rain
70,Aksay,RU,2022-05-16 04:09:40,47.26,39.87,54.25,80,23,7.0,few clouds
71,Vaini,TO,2022-05-16 04:02:47,-21.2,-175.2,74.68,63,53,14.05,broken clouds
72,Dikson,RU,2022-05-16 04:04:03,73.5069,80.5464,35.55,99,100,12.26,moderate rain
73,East London,ZA,2022-05-16 04:03:17,-33.0153,27.9116,60.12,80,0,6.71,clear sky
74,Pevek,RU,2022-05-16 04:02:35,69.7008,170.3133,30.24,76,97,3.98,overcast clouds
75,Salalah,OM,2022-05-16 04:07:34,17.0151,54.0924,84.29,61,6,6.91,clear sky
76,Umba,RU,2022-05-16 04:09:41,66.6871,34.3429,40.91,71,95,4.68,overcast clouds
77,Merauke,ID,2022-05-16 04:09:42,-8.4667,140.3333,83.28,57,8,7.45,clear sky
78,Yerbogachen,RU,2022-05-16 04:08:31,61.2767,108.0108,62.02,44,44,6.62,scattered clouds
79,Bambous Virieux,MU,2022-05-16 04:02:56,-20.3428,57.7575,77.25,78,75,10.36,light rain
80,Mehamn,NO,2022-05-16 04:04:05,71.0357,27.8492,37.35,87,75,10.36,broken clouds
81,Albany,US,2022-05-16 03:57:27,42.6001,-73.9662,65.64,94,100,3.27,overcast clouds
82,Mar Del Plata,AR,2022-05-16 04:02:54,-38.0023,-57.5575,53.94,79,99,8.01,overcast clouds
83,Kavaratti,IN,2022-05-16 04:05:20,10.5669,72.642,80.01,82,100,16.84,overcast clouds
84,Kapaa,US,2022-05-16 04:03:29,22.0752,-159.319,78.78,84,98,4.0,overcast clouds
85,Yelizovo,RU,2022-05-16 04:09:43,53.1873,158.3805,37.54,100,100,13.42,light intensity shower rain
86,Ponta Do Sol,PT,2022-05-16 04:03:10,32.6667,-17.1,70.0,90,41,5.86,scattered clouds
87,Qaqortoq,GL,2022-05-16 04:07:05,60.7167,-46.0333,31.41,74,53,4.12,broken clouds
88,Clyde River,CA,2022-05-16 04:07:19,70.4692,-68.5914,13.17,86,26,3.58,scattered clouds
89,Yulara,AU,2022-05-16 04:05:04,-25.2406,130.9889,74.71,27,50,12.37,scattered clouds
90,Tiznit,MA,2022-05-16 04:09:44,29.5833,-9.5,57.72,74,0,0.45,clear sky
91,Saint-Philippe,RE,2022-05-16 04:02:53,-21.3585,55.7679,72.99,86,77,14.05,light rain
92,Aklavik,CA,2022-05-16 04:04:12,68.2191,-135.0107,31.77,98,100,9.55,light snow
93,Tasiilaq,GL,2022-05-16 04:04:06,65.6145,-37.6368,33.96,95,100,9.22,light snow
94,Verkhnevilyuysk,RU,2022-05-16 04:09:45,63.4453,120.3167,46.42,34,100,10.4,overcast clouds
95,Namibe,AO,2022-05-16 04:02:52,-15.1961,12.1522,70.72,61,6,6.93,clear sky
96,Bilibino,RU,2022-05-16 04:03:35,68.0546,166.4372,34.95,94,60,3.76,broken clouds
97,Kodiak,US,2022-05-16 04:02:43,57.79,-152.4072,43.83,68,20,3.89,few clouds
98,Bredasdorp,ZA,2022-05-16 04:03:28,-34.5322,20.0403,53.22,69,0,4.25,clear sky
99,Airai,TL,2022-05-16 04:04:32,-8.9266,125.4092,75.96,52,3,2.44,clear sky
100,Inuvik,CA,2022-05-16 04:09:47,68.3499,-133.7218,35.08,100,100,6.24,light snow
101,Nouakchott,MR,2022-05-16 04:09:47,18.0858,-15.9785,85.93,38,98,12.68,overcast clouds
102,Popondetta,PG,2022-05-16 04:09:48,-8.7537,148.2534,89.2,50,98,6.62,light rain
103,Makakilo City,US,2022-05-16 04:09:48,21.3469,-158.0858,77.32,73,100,6.91,overcast clouds
104,Qaanaaq,GL,2022-05-16 04:02:32,77.484,-69.3632,16.36,74,80,6.89,broken clouds
105,Poum,NC,2022-05-16 04:02:39,-20.2333,164.0167,78.64,72,43,15.48,scattered clouds
106,Smithers,CA,2022-05-16 04:09:49,54.7804,-127.1743,48.52,87,100,2.3,overcast clouds
107,Luderitz,NA,2022-05-16 04:02:57,-26.6481,15.1594,72.46,28,13,12.93,few clouds
108,Severnyy-Kospashskiy,RU,2022-05-16 04:09:50,59.0925,57.8008,51.4,75,53,4.85,light rain
109,Longyearbyen,SJ,2022-05-16 04:03:09,78.2186,15.6401,26.28,91,100,1.83,overcast clouds
110,Timra,SE,2022-05-16 04:06:54,62.487,17.3257,40.55,64,6,15.17,clear sky
111,Khatanga,RU,2022-05-16 04:01:19,71.9667,102.5,33.26,100,100,4.92,overcast clouds
112,Geraldton,AU,2022-05-16 04:04:21,-28.7667,114.6,72.01,46,0,9.22,clear sky
113,Nipawin,CA,2022-05-16 04:09:51,53.3668,-104.0009,39.18,77,6,5.23,clear sky
114,Souillac,MU,2022-05-16 04:02:42,-20.5167,57.5167,77.38,78,75,10.36,light rain
115,Esperance,AU,2022-05-16 04:06:26,-33.8667,121.9,60.87,66,97,4.59,overcast clouds
116,Ribeira Grande,PT,2022-05-16 04:03:12,38.5167,-28.7,57.67,70,38,33.46,light rain
117,Itoman,JP,2022-05-16 04:09:52,26.1247,127.6694,66.58,92,75,14.97,light rain
118,Sao Jose Da Coroa Grande,BR,2022-05-16 04:09:53,-8.8978,-35.1478,77.38,86,90,4.47,overcast clouds
119,Lagoa,PT,2022-05-16 04:03:50,39.05,-27.9833,56.19,72,11,39.62,few clouds
120,Honavar,IN,2022-05-16 04:09:54,14.2833,74.45,84.83,75,100,8.86,overcast clouds
121,Hovd,MN,2022-05-16 04:09:54,48.0056,91.6419,66.2,16,100,3.33,light rain
122,Pitimbu,BR,2022-05-16 04:09:55,-7.4706,-34.8086,75.79,85,56,5.53,broken clouds
123,Mareeba,AU,2022-05-16 04:07:58,-17.0,145.4333,83.44,56,2,2.17,clear sky
124,Yatou,CN,2022-05-16 04:07:32,37.15,122.3833,74.82,29,12,11.05,few clouds
125,Hofn,IS,2022-05-16 04:03:26,64.2539,-15.2082,48.07,89,80,4.38,broken clouds
126,San Pedro,PH,2022-05-16 04:06:57,14.35,121.0167,89.31,67,94,3.36,overcast clouds
127,Faanui,PF,2022-05-16 04:03:45,-16.4833,-151.75,81.34,71,23,10.38,few clouds
128,Hilo,US,2022-05-16 03:59:01,19.7297,-155.09,78.28,97,55,1.01,moderate rain
129,Kismayo,SO,2022-05-16 04:04:21,-0.3582,42.5454,80.15,79,86,15.64,overcast clouds
130,New Norfolk,AU,2022-05-16 04:03:08,-42.7826,147.0587,54.9,46,42,9.55,light rain
131,Lebanon,US,2022-05-16 04:05:19,36.2081,-86.2911,75.25,82,75,3.44,broken clouds
132,Douentza,ML,2022-05-16 04:09:57,14.9951,-2.9517,82.09,10,4,3.56,clear sky
133,Nuuk,GL,2022-05-16 04:09:57,64.1835,-51.7216,29.77,66,0,8.5,clear sky
134,Kruisfontein,ZA,2022-05-16 04:03:23,-34.0033,24.7314,55.11,64,0,6.89,clear sky
135,Severo-Kurilsk,RU,2022-05-16 04:03:18,50.6789,156.125,36.21,98,100,14.63,overcast clouds
136,Port Elizabeth,ZA,2022-05-16 04:03:23,-33.918,25.5701,58.53,76,0,7.43,clear sky
137,Avera,US,2022-05-16 04:07:52,33.194,-82.5271,73.45,84,73,8.14,broken clouds
138,Castro,BR,2022-05-16 04:01:01,-24.7911,-50.0119,51.21,98,15,3.65,few clouds
139,Tilichiki,RU,2022-05-16 04:06:03,60.4667,166.1,36.21,91,100,8.57,overcast clouds
140,Saint Augustine,US,2022-05-16 04:09:59,29.8947,-81.3145,73.02,96,0,0.0,clear sky
141,Isangel,VU,2022-05-16 04:02:48,-19.55,169.2667,78.44,73,33,15.99,scattered clouds
142,Kaka,TM,2022-05-16 04:09:59,37.3482,59.6143,81.61,19,4,3.62,clear sky
143,Broome,US,2022-05-16 04:04:54,42.2506,-75.833,63.86,88,0,4.61,clear sky
144,Kudahuvadhoo,MV,2022-05-16 04:10:00,2.6708,72.8944,83.66,77,92,18.99,overcast clouds
145,Mount Isa,AU,2022-05-16 04:05:05,-20.7333,139.5,83.97,37,0,12.66,clear sky
146,Bargarh,IN,2022-05-16 04:10:01,21.3333,83.6167,101.37,27,76,8.12,broken clouds
147,Upernavik,GL,2022-05-16 04:03:53,72.7868,-56.1549,4.86,92,32,6.22,scattered clouds
148,Butterworth,MY,2022-05-16 04:10:02,5.3991,100.3638,86.05,70,20,8.05,few clouds
149,Port Lincoln,AU,2022-05-16 04:06:56,-34.7333,135.8667,62.11,55,72,20.11,broken clouds
150,Felanitx,ES,2022-05-16 04:10:02,39.4696,3.1483,67.14,68,98,2.82,overcast clouds
151,Shizunai,JP,2022-05-16 04:05:36,42.3339,142.3669,53.33,71,52,7.27,broken clouds
152,Gardabani,GE,2022-05-16 04:10:03,41.4605,45.0928,55.49,71,99,10.27,overcast clouds
153,Takoradi,GH,2022-05-16 04:10:03,4.8845,-1.7554,79.21,86,75,4.38,light rain
154,Yar-Sale,RU,2022-05-16 04:07:28,66.8333,70.8333,39.4,100,100,8.5,overcast clouds
155,Carnarvon,AU,2022-05-16 04:03:09,-24.8667,113.6333,74.46,26,0,3.29,clear sky
156,Saskylakh,RU,2022-05-16 04:02:48,71.9167,114.0833,33.75,100,100,5.41,overcast clouds
157,Soc Trang,VN,2022-05-16 04:10:04,9.6033,105.98,92.07,53,100,9.19,overcast clouds
158,Cabo San Lucas,MX,2022-05-16 04:02:31,22.8909,-109.9124,84.61,39,90,5.99,overcast clouds
159,Pisco,PE,2022-05-16 04:05:55,-13.7,-76.2167,60.03,94,8,3.44,mist
160,Mackenzie,CA,2022-05-16 04:10:05,55.2999,-123.1698,52.02,54,100,9.22,overcast clouds
161,Arua,UG,2022-05-16 04:10:06,3.0201,30.9111,62.85,85,71,1.41,broken clouds
162,Seybaplaya,MX,2022-05-16 04:10:06,19.65,-90.6667,79.09,60,0,12.77,clear sky
163,Igarka,RU,2022-05-16 04:10:07,67.4667,86.5833,43.56,94,100,4.81,overcast clouds
164,Saint-Pierre,RE,2022-05-16 04:06:42,-21.3393,55.4781,73.08,83,75,10.36,broken clouds
165,Labuhan,ID,2022-05-16 04:08:01,-6.8844,112.2051,86.4,69,47,3.44,scattered clouds
166,Izhma,RU,2022-05-16 04:10:07,65.0083,53.9113,39.9,87,100,8.16,overcast clouds
167,Alice Springs,AU,2022-05-16 04:10:08,-23.7,133.8833,74.75,32,40,11.5,scattered clouds
168,Puerto Baquerizo Moreno,EC,2022-05-16 04:10:08,-0.9,-89.6,72.19,91,44,7.81,scattered clouds
169,Vestmanna,FO,2022-05-16 04:08:00,62.1564,-7.1664,45.52,93,75,11.5,broken clouds
170,Aulla,IT,2022-05-16 04:10:09,44.2146,9.9678,61.95,80,42,3.4,scattered clouds
171,Kula,TR,2022-05-16 04:10:10,38.5473,28.6498,60.33,63,1,2.04,clear sky
172,Micheweni,TZ,2022-05-16 04:10:10,-4.9667,39.8333,77.97,79,3,12.37,light rain
173,Arecibo,PR,2022-05-16 04:10:11,18.4724,-66.7157,77.97,82,60,1.01,broken clouds
174,Elizabeth City,US,2022-05-16 04:10:11,36.2946,-76.2511,71.62,87,75,8.05,broken clouds
175,Birao,CF,2022-05-16 04:05:58,10.2849,22.7882,78.62,60,95,2.91,overcast clouds
176,Ayame,CI,2022-05-16 04:10:12,5.6083,-3.1563,74.43,98,100,0.29,overcast clouds
177,Cockburn Town,TC,2022-05-16 04:04:19,21.4612,-71.1419,78.85,83,100,21.36,overcast clouds
178,Cayenne,GF,2022-05-16 04:01:36,4.9333,-52.3333,82.09,1,75,7.0,light rain
179,Klaksvik,FO,2022-05-16 04:02:37,62.2266,-6.589,47.32,97,59,13.49,broken clouds
180,Montalvo,EC,2022-05-16 04:10:13,-1.8,-79.3333,76.01,96,95,2.3,light rain
181,Sleaford,GB,2022-05-16 04:10:14,52.9983,-0.4094,54.86,96,100,11.5,overcast clouds
182,Husavik,IS,2022-05-16 04:02:57,66.0449,-17.3389,44.49,83,60,7.27,broken clouds
183,Malanville,BJ,2022-05-16 04:10:14,11.8685,3.3899,85.68,55,99,9.62,overcast clouds
184,Koila,GR,2022-05-16 04:10:15,40.3333,21.7833,58.71,82,3,5.75,clear sky
185,Gijon,ES,2022-05-16 04:06:47,43.5357,-5.6615,62.46,95,59,1.01,broken clouds
186,Eenhana,NA,2022-05-16 04:10:16,-17.4667,16.3333,60.69,47,3,8.32,clear sky
187,Peniche,PT,2022-05-16 04:07:59,39.3558,-9.3811,63.28,88,100,13.2,overcast clouds
188,Nome,US,2022-05-16 03:58:52,64.5011,-165.4064,36.54,94,93,6.31,overcast clouds
189,Impfondo,CG,2022-05-16 04:10:17,1.6381,18.0667,71.87,94,99,1.68,light rain
190,Evensk,RU,2022-05-16 04:06:21,61.95,159.2333,40.33,84,100,9.55,overcast clouds
191,Naze,JP,2022-05-16 04:10:17,28.3667,129.4833,59.95,90,100,11.79,moderate rain
192,Tabou,CI,2022-05-16 04:10:18,4.423,-7.3528,78.35,86,100,7.65,light rain
193,Borogontsy,RU,2022-05-16 04:10:18,62.6683,131.1683,45.9,59,93,6.17,light rain
194,Greenville,US,2022-05-16 04:07:39,35.6127,-77.3663,71.76,83,0,8.05,clear sky
195,Port Augusta,AU,2022-05-16 04:10:19,-32.5,137.7667,67.26,45,35,13.29,scattered clouds
196,Nikolskoye,RU,2022-05-16 04:02:44,59.7035,30.7861,47.88,91,100,8.28,overcast clouds
197,Portland,US,2022-05-16 04:02:44,45.5234,-122.6762,63.18,74,100,6.91,overcast clouds
198,Cap Malheureux,MU,2022-05-16 04:10:20,-19.9842,57.6142,73.47,88,30,7.0,scattered clouds
199,Katherine,AU,2022-05-16 04:10:20,-14.4667,132.2667,93.52,18,0,9.22,clear sky
200,Harnosand,SE,2022-05-16 04:10:21,62.6323,17.9379,42.82,65,2,19.48,clear sky
201,Sinnamary,GF,2022-05-16 04:10:21,5.3833,-52.95,77.9,91,100,9.33,overcast clouds
202,Pishva,IR,2022-05-16 04:10:22,35.308,51.7267,78.53,14,0,4.36,clear sky
203,Caravelas,BR,2022-05-16 04:04:04,-17.7125,-39.2481,72.75,81,56,5.3,broken clouds
204,Chokurdakh,RU,2022-05-16 04:02:43,70.6333,147.9167,22.87,83,100,14.41,overcast clouds
205,Trinidad,BO,2022-05-16 04:06:25,-14.8333,-64.9,67.91,77,85,8.37,overcast clouds
206,Tazmalt,DZ,2022-05-16 04:10:12,36.3868,4.3989,70.79,46,37,1.7,scattered clouds
207,Viedma,AR,2022-05-16 04:04:00,-40.8135,-62.9967,51.26,77,93,16.17,overcast clouds
208,Pemberton,CA,2022-05-16 04:10:23,50.3164,-122.8027,45.81,100,100,3.31,overcast clouds
209,Olafsvik,IS,2022-05-16 04:04:44,64.8945,-23.7142,47.32,87,100,9.8,overcast clouds
210,Fort Nelson,CA,2022-05-16 04:04:48,58.8053,-122.7002,49.5,61,59,4.36,broken clouds
211,Naryan-Mar,RU,2022-05-16 04:06:51,67.6713,53.087,35.78,92,100,13.02,overcast clouds
212,San Cristobal,VE,2022-05-16 04:05:27,7.7669,-72.225,75.38,96,97,3.09,overcast clouds
213,Ucluelet,CA,2022-05-16 04:04:05,48.9329,-125.5528,52.09,93,100,1.99,overcast clouds
214,Talnakh,RU,2022-05-16 04:07:06,69.4865,88.3972,45.21,91,100,8.59,overcast clouds
215,Okhansk,RU,2022-05-16 04:10:24,57.7186,55.3877,55.47,69,74,3.6,broken clouds
216,Mahebourg,MU,2022-05-16 04:03:39,-20.4081,57.7,77.29,78,75,10.36,broken clouds
217,Santa Luzia,BR,2022-05-16 04:10:25,-19.7697,-43.8514,63.5,85,94,0.92,overcast clouds
218,Beaufort,MY,2022-05-16 04:09:08,5.3473,115.7455,91.85,53,27,4.03,scattered clouds
219,Pierre,US,2022-05-16 04:05:18,44.3683,-100.351,60.06,61,0,7.0,clear sky
220,Praya,CV,2022-05-16 04:07:31,14.9215,-23.5087,71.58,84,98,13.78,overcast clouds
221,Lorengau,PG,2022-05-16 04:06:11,-2.0226,147.2712,84.97,61,65,5.53,broken clouds
222,Maniitsoq,GL,2022-05-16 04:02:33,65.4167,-52.9,31.26,55,6,5.55,clear sky
223,Victoria,HK,2022-05-16 04:01:54,22.2855,114.1577,68.95,90,100,11.99,light rain
224,Semypolky,UA,2022-05-16 04:10:26,50.7167,30.9333,52.88,80,3,6.96,clear sky
225,Labuan,MY,2022-05-16 04:10:27,5.2767,115.2417,83.5,73,23,2.73,few clouds
